marker-color,marker-size,marker-symbol,Name,Top Current Artist,lon,lat
#7e7e7e,medium,,New York City,A$ap Rocky,-73.99566650390625,40.74205475883487
#7e7e7e,medium,,Los Angeles Area,Kendrick Lamar,-118.25271606445312,34.05322832125499
#7e7e7e,medium,,Atlanta,Playboi Carti,-84.39147949218749,33.754031498216385
#7e7e7e,medium,,New Orleans,Lil Wayne,-90.09269714355469,29.95374469792335
#7e7e7e,medium,,Detroit,Danny Brown,-83.0621337890625,42.35194747639862
#7e7e7e,medium,,Chicago,Chief Keef,-87.63931274414062,41.87671893034394
#7e7e7e,medium,,Houston,Travis Scott,-95.36956787109375,29.771529831403097
#7e7e7e,medium,,Miami,XXXTentacion,-80.20980834960938,25.781343719101066
#7e7e7e,medium,,Memphis,Three 6 Mafia,-90.05218505859375,35.150793001813
#7e7e7e,medium,,Virginia Beach,Pusha T,-76.00341796875,36.85435108768685
#7e7e7e,medium,,SF/Oakland,SOB x RBE,-122.27748870849608,37.808698976006795
#7e7e7e,medium,,Philadelphia,Lil Uzi Vert,-75.16571044921875,39.953964380766394
